queryId,method,metric,value
q000,no_retrieval,ndcg@10,0.0
q000,no_retrieval,recall@10,0.0
q000,no_retrieval,mrr@10,0.0
q000,no_retrieval,precision@5,0.0
q000,bm25,ndcg@10,0.787702
q000,bm25,recall@10,0.75
q000,bm25,mrr@10,1.0
q000,bm25,precision@5,0.6
q000,lsa_vector,ndcg@10,0.831872
q000,lsa_vector,recall@10,0.75
q000,lsa_vector,mrr@10,1.0
q000,lsa_vector,precision@5,0.6
q000,hybrid_rrf,ndcg@10,0.831872
q000,hybrid_rrf,recall@10,0.75
q000,hybrid_rrf,mrr@10,1.0
q000,hybrid_rrf,precision@5,0.6
q001,no_retrieval,ndcg@10,0.0
q001,no_retrieval,recall@10,0.0
q001,no_retrieval,mrr@10,0.0
q001,no_retrieval,precision@5,0.0
q001,bm25,ndcg@10,1.0
q001,bm25,recall@10,1.0
q001,bm25,mrr@10,1.0
q001,bm25,precision@5,0.8
q001,lsa_vector,ndcg@10,0.982892
q001,lsa_vector,recall@10,1.0
q001,lsa_vector,mrr@10,1.0
q001,lsa_vector,precision@5,0.8
q001,hybrid_rrf,ndcg@10,1.0
q001,hybrid_rrf,recall@10,1.0
q001,hybrid_rrf,mrr@10,1.0
q001,hybrid_rrf,precision@5,0.8
q002,no_retrieval,ndcg@10,0.0
q002,no_retrieval,recall@10,0.0
q002,no_retrieval,mrr@10,0.0
q002,no_retrieval,precision@5,0.0
q002,bm25,ndcg@10,0.910853
q002,bm25,recall@10,1.0
q002,bm25,mrr@10,1.0
q002,bm25,precision@5,0.6
q002,lsa_vector,ndcg@10,0.80481
q002,lsa_vector,recall@10,0.75
q002,lsa_vector,mrr@10,1.0
q002,lsa_vector,precision@5,0.6
q002,hybrid_rrf,ndcg@10,0.80481
q002,hybrid_rrf,recall@10,0.75
q002,hybrid_rrf,mrr@10,1.0
q002,hybrid_rrf,precision@5,0.6
q003,no_retrieval,ndcg@10,0.0
q003,no_retrieval,recall@10,0.0
q003,no_retrieval,mrr@10,0.0
q003,no_retrieval,precision@5,0.0
q003,bm25,ndcg@10,0.853932
q003,bm25,recall@10,0.8
q003,bm25,mrr@10,1.0
q003,bm25,precision@5,0.8
q003,lsa_vector,ndcg@10,0.868795
q003,lsa_vector,recall@10,0.8
q003,lsa_vector,mrr@10,1.0
q003,lsa_vector,precision@5,0.8
q003,hybrid_rrf,ndcg@10,0.868795
q003,hybrid_rrf,recall@10,0.8
q003,hybrid_rrf,mrr@10,1.0
q003,hybrid_rrf,precision@5,0.8
q004,no_retrieval,ndcg@10,0.0
q004,no_retrieval,recall@10,0.0
q004,no_retrieval,mrr@10,0.0
q004,no_retrieval,precision@5,0.0
