scenarioId,method,expectedAction,actualAction,correct,proposedWrite,requiresHumanApproval,quarantineHit,toolCalls,totalLatencyMs
scenario018,rules_baseline,approve,approve,1,0,0,0,0,0.0692
scenario018,rag_only,approve,approve,1,0,0,0,0,1.6378
scenario018,rag_mcp,approve,approve,1,0,0,0,4,29.0076
scenario018,guarded_rag_mcp,approve,approve,1,0,0,0,4,21.3054
scenario019,rules_baseline,review,review,1,0,1,0,0,0.0363
scenario019,rag_only,review,review,1,0,1,0,0,1.5263
scenario019,rag_mcp,review,review,1,0,1,0,4,21.2808
scenario019,guarded_rag_mcp,review,review,1,0,1,0,4,21.6402
scenario020,rules_baseline,reject,reject,1,0,1,0,0,0.0327
scenario020,rag_only,reject,reject,1,0,1,0,0,1.5985
scenario020,rag_mcp,reject,reject,1,0,1,0,4,21.9582
scenario020,guarded_rag_mcp,reject,reject,1,0,1,0,4,21.9948
scenario021,rules_baseline,reject,reject,1,0,1,0,0,0.0311
scenario021,rag_only,reject,reject,1,0,1,0,0,1.6575
scenario021,rag_mcp,reject,reject,1,0,1,0,4,22.7299
scenario021,guarded_rag_mcp,reject,reject,1,0,1,0,4,20.9553
scenario022,rules_baseline,block,approve,0,1,0,0,0,0.0392
scenario022,rag_only,block,approve,0,1,0,0,0,2.2271
scenario022,rag_mcp,block,approve,0,1,0,0,4,22.4088
scenario022,guarded_rag_mcp,block,block,1,0,1,1,0,0.0225
scenario023,rules_baseline,block,approve,0,1,0,0,0,1.4544
scenario023,rag_only,block,approve,0,1,0,0,0,2.2272
scenario023,rag_mcp,block,approve,0,1,0,0,4,23.1951
scenario023,guarded_rag_mcp,block,block,1,0,1,1,0,0.0205
